Title,YearStart,YearEnd,Printings,Source,Notes
Dark Nights: Metal,2017,2018,,"https://en.wikipedia.org/wiki/Dark_Nights:_Metal,https://dc.fandom.com/wiki/Dark_Nights:_Metal",
Justice League Origin,2011,2012,,"https://dc.fandom.com/wiki/Justice_League:_Origin",
The Flash: Flashpoint,2011,2011,,"https://en.wikipedia.org/wiki/Flashpoint_(comics),https://www.dccomics.com/graphic-novels/flashpoint-2011/flashpoint",
Batman: Lovers and Madmen,2007,2008,,"https://dc.fandom.com/wiki/Batman:_Lovers_and_Madmen,https://en.wikipedia.org/wiki/Batman_Confidential",Batman Confidential Vol. 2 collecting 7-12
"Batman: Knightfall, Part One: Broken Bat",1993,1994,6,"https://www.comics.org/issue/348526/,https://en.wikipedia.org/wiki/Batman:_Knightfall",at least one ref is ambiguous about vol but to keep them together
"Batman: Knightfall, Part Two: Who Rules The Night",1993,1993,,"https://en.wikipedia.org/wiki/Batman:_Knightfall,https://dc.fandom.com/wiki/Batman:_Knightfall_Part_Two_-_Who_Rules_the_Night_(Collected)",
Batman: Knightquest: The Crusade,1993,1994,,"https://dc.fandom.com/wiki/Batman:_Knightquest,https://en.wikipedia.org/wiki/Batman:_Knightfall#%22Knightquest%22,https://www.dccomics.com/graphic-novels/batman-knightfall-1993/batman-knightquest-the-crusade-vol-1",
Batman: Absolution,2002,2002,,"https://www.dccomics.com/graphic-novels/batman-absolution,https://dc.fandom.com/wiki/Batman:_Absolution",
Batman: Gotham County Line,2005,2006,,"https://en.wikipedia.org/wiki/Batman:_Gotham_County_Line,https://dc.fandom.com/wiki/Batman:_Gotham_County_Line_(Collected),https://dc.fandom.com/wiki/Batman:_Gotham_County_Line_Vol_1,https://www.dccomics.com/graphic-novels/batman-gotham-county-line",
The Greatest Joker Stories Ever Told,1940,1980,,"https://www.comics.org/issue/43871/,https://dc.fandom.com/wiki/The_Greatest_Joker_Stories_Ever_Told_(Collected)",
Batman: Death of the Family,2012,2013,,"https://en.wikipedia.org/wiki/Batman:_Death_of_the_Family,https://dc.fandom.com/wiki/Batman:_Death_of_the_Family",
Batman: Noël,2012,2012,,"https://dc.fandom.com/wiki/Batman:_No%C3%ABl,https://en.wikipedia.org/wiki/Batman:_No%C3%ABl",
