Title,Script,Cover,Pencils,Inks,Colors,Letters
Batman: No Man's Land,various,various,various,various,various,various
Batman: Zero Year,Scott Snyder/James Tynion IV,Greg Capullo/Danny Miki/FCO Plascencia,Greg Capullo/Rafael Albuquerque,Danny Miki,Dave McCaig/FCO Plascencia,Nick J. Napolitano/Taylor Esposito/Dezi Sienty
Batman: The Last Arkham,Alan Grant,Brian Stelfreeze,Norm Breyfogle,Norm Breyfogle,Adrienne Roy,Todd Klein
Batman: Endgame,Scott Snyder,Greg Capullo/Danny Miki/FCO Plascencia,Greg Capullo,Danny Miki,FCO Plascencia,Steve Wands
The Batman in Nine Lives,Dean Motter,Michael Lark/Christopher Moeller,Michael Lark,Michael Lark,Matt Hollingsworth,Bill Oakley
Batman: Haunted Knight,Jeph Loeb,Tim Sale/Gregory Wright,Tim Sale,Tim Sale,Gregory Wright,Todd Klein
Batman: Earth One Vol. 1,Geoff Johns,Gary Frank,Gary Frank,Gary Frank,Brad Anderson,Rob Leigh
Batman: Earth One Vol. 2,Geoff Johns,Gary Frank,Gary Frank,Gary Frank,Brad Anderson,Rob Leigh
JLA: Rock Of Ages,Grant Morrison,Howard Porter/John Dell,Howard Porter/Gary Frank/Greg Land,John Dell/Bob McLeod,Pat Garrahy,Ken Lopez
Batman: Second Chances,Max Allan Collins/Jo Duffy/Jim Starlin,Dick Giordano/Edward Hannigan,Ross Andru/Chris Warner/Norm Breyfogle/Jim Starlin/Denys Cowan/Ed Hannigan/Steve Geiger/Dave Cockrum/Dick Giordano/Kevin Nowlan/Kieron Dwyer/Jim Aparo/John Byrne/Norm Breyfogle,Don Heck/Jim Starlin/Dick Giordano/Mike DeCarlo/Dick Giordano/Norm Breyfogle/Jim Starlin/Greg Brooks/Bruce D. Patterson/Kevin Nowlan/Walt Simonson/Bill Sienkiewicz/John Byrne,Adrienne Roy/Anthony Tollin/Daina Graziunas/,John Costanza/Todd Klein/Agustin Mas/Denny O'Neil
The Untold Legend of the Batman,Len Wein,José García-López/Dick Giordano,John Byrne/Jim Aparo,Jim Aparo,Glynis Oliver,John Costanza/Jim Aparo
Batman: Face the Face,James Robinson,Simone Bianchi,Leonard Kirk/Dick Grayson,Andy Clarke/Dick Grayson,John Kalisz,Travis Lanham
"Batman: Detective Comics, Volume 5: Gothtopia",various,Jason Fabok,various,various,various,various
Gotham Central Vol. 1: In the Line of Duty,Ed Brubaker/Greg Rucka,Michael Lark,Michael Lark,Michael Lark,Noelle Giddings,Willie Schubert
Gotham Central Vol. 2: Jokers and Madmen,Ed Brubaker/Greg Rucka,Matthew Hollingsworth/Michael Lark/Stefano Gaudiano,Brian Hurtt/Michael Lark/Greg Scott,Brian Hurtt/Michael Lark/Greg Scott/Stefano Gaudiano,Lee Loughridge,Willie Schubert/Clem Robins
"All Star Batman Vol. 3: The First Ally",Scott Snyder,Rafael Albuquerque,Rafael Albuquerque,Rafael Albuquerque,Jordie Bellaire,Steve Wands
"All Star Batman Vol. 2: Ends Of The Earth",Scott Snyder,Jock,Jock/Tula Lotay/Giuseppe Camuncoli,Jock/Tula Lotay/Mark Morales,Matt Hollingsworth/Tula Lotay/Dean White/Lee Loughridge,Steve Wands
"All Star Batman and Robin, the Boy Wonder",Frank Miller,Jim Lee/Scott Williams/Alex Sinclair/Neal Adams,Jim Lee,Scott Williams,Alex Sinclair,Jared K. Fletcher
The Batman Chronicles Vol. 1,Gardner Fox/Bill Finger,Bob Kane/Fred Guardineer/Creig Flessel/Jerry Robinson,Bob Kane/Creig Flessel/Sheldon Moldoff,Creig Flessel/Bob Kane/Sheldon Moldoff/Jerry Robinson,na,Bob Kane/Sheldon Moldoff/Jerry Robinson
Batman: Heart of Hush,Paul Dini,Dustin Nguyen,Dustin Nguyen,Derek Fridolfs/Dustin Nguyen,John Kalisz,Travis Lanham/Steve Wands/John J. Hill/Jared K. Fletcher
Batman 75th Anniversary Box Set,various,various,various,various,various,various
Batman: Cataclysm,various,various,various,various,various,various
Injustice: Gods Among Us: Year One: Volume 1,Tom Taylor,Jheremy Raapack/Tony Aviña/Andrew Elder/Santi Casas/David Lopez/Mico Suayan/Drew Johnson/Ray Snyder/Kathryn Layno,Axel Giménez/Mike S. Miller/Jheremy Raapack/Mike S. Miller/Bruno Redondo/David Yardin/Tom Derenick/Neil Googe/Kevin Maguire,Diana Egea/Mike S. Miller/Jheremy Raapack/Mike S. Miller/Bruno Redondo/David Yardin/Tom Derenick/Le Beau Underwood/Jonas Trinidade/Neil Googe/Kevin Maguire,Andrew Elder/Alejandro Sanchez/David Yardin/David Lopez/Santi Casas/Rosemary Cheetham/Fran Vazquez/Sergi Erra,Wes Abbott
Injustice: Gods Among Us: Year One: Volume 2,Tom Taylor,Santi Casas/David Lopez/Mico Suayan/Jheremy Raapack,Tom Derenick/Neil Googe/Kevin Maguire/Mike S. Miller/Bruno Redondo/Jheremy Raapack,Tom Derenick/Neil Googe/Kevin Maguire/Mike S. Miller/Bruno Redondo/Jheremy Raapack,Rosemary Cheetham/Alejandro Sanchez/David Lopez/Santi Casas/Sergi Erra/Fran Vazquez,Wes Abbott
Injustice: Gods Among Us: Year Three: Volume 1,Tom Taylor,Neil Googe,various,various,various,various
Batman: Legends of the Dark Knight: Shaman,Dennis O'Neil,Ed Hannigan/George Pratt/Dean Motter,Ed Hannigan,John Beatty,Richmond Lewis,John Costanza
Batman: War Games,various,various,various,various,various,various
Joker,Brian Azzarello,Lee Bermejo,Lee Bermejo,Mick Gray/Lee Bermejo,Lee Bermejo/Patricia Mulvihill,Rob Clark Jr.
