Title,Time,NormalisedTS,Party A,Party B,"Outcome (A, B,  inconclusive)"
Avengers: Age of Ultron,82.2,0.583,Ultron,Captain America,Captain America
Avengers: Age of Ultron,82.25,0.5833,Ultron,Captain America,Ultron
Avengers: Age of Ultron,82.37,0.5842,Ultron,Captain America,Captain America
Avengers: Age of Ultron,82.43,0.5846,Ultron,Black Widow,Ultron
Avengers: Age of Ultron,82.57,0.5856,Ultron's Mook,Black Widow,Ultron's Mook
Avengers: Age of Ultron,82.63,0.586,Ultron,Captain America,Ultron
Avengers: Age of Ultron,82.73,0.5867,Ultron,Captain America,Ultron
Avengers: Age of Ultron,82.87,0.5877,Ultron,Captain America,Captain America
Avengers: Age of Ultron,83.0,0.5887,Ultron,Captain America,inconclusive
Avengers: Age of Ultron,83.02,0.5888,Hawkeye,Ultron,Hawkeye
Avengers: Age of Ultron,83.15,0.5897,Ultron's Mook,Hawkeye,Ultron's Mook
Avengers: Age of Ultron,83.27,0.5906,Ultron's Mook,Hawkeye,Hawkeye
Avengers: Age of Ultron,83.43,0.5917,Ultron,Captain America,inconclusive
Avengers: Age of Ultron,83.52,0.5923,Ultron,Captain America,Captain America
Avengers: Age of Ultron,83.57,0.5927,Ultron,Captain America,Ultron
Avengers: Age of Ultron,83.73,0.5938,Ultron,Captain America,Ultron
Avengers: Age of Ultron,84.83,0.6016,Ultron,Captain America,Ultron
Avengers: Age of Ultron,84.87,0.6019,Quicksilver,Ultron,Quicksilver
Avengers: Age of Ultron,84.95,0.6025,Scarlet Witch,Ultron,Scarlet Witch
Avengers: Age of Ultron,85.08,0.6034,Quicksilver,Ultron,Quicksilver
Avengers: Age of Ultron,85.52,0.6065,Black Widow,Ultron,Ultron
Avengers: Age of Ultron,86.35,0.6124,Scarlet Witch,train,Scarlet Witch
Avengers: Age of Ultron,91.63,0.6499,Quicksilver,Iron Man,Quicksilver
Avengers: Age of Ultron,91.63,0.6499,Quicksilver,Hulk,Quicksilver
Avengers: Age of Ultron,92.05,0.6528,Iron Man,Captain America,Iron Man
Avengers: Age of Ultron,92.12,0.6533,Hulk,Scarlet Witch,Hulk
Avengers: Age of Ultron,92.18,0.6538,Iron Man,Captain America,inconclusive
Avengers: Age of Ultron,92.23,0.6541,Hulk,Scarlet Witch,Scarlet Witch
Avengers: Age of Ultron,93.05,0.6599,Thor,Vision,Thor
Avengers: Age of Ultron,97.78,0.6935,Quicksilver,Police Mooks,Quicksilver
Avengers: Age of Ultron,98.95,0.7018,Hulk,prison door,Hulk
Avengers: Age of Ultron,100.47,0.7126,Ultron's Mooks,Random Mooks,Ultron's Mooks
Avengers: Age of Ultron,100.58,0.7133,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,100.62,0.7136,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,100.65,0.7138,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,100.75,0.7145,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,100.78,0.7148,Scarlet Witch,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,101.2,0.7177,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,101.23,0.7179,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,101.42,0.7193,Quicksilver,Ultron's Mooks,Quicksilver
Avengers: Age of Ultron,101.67,0.7211,Vision,Ultron,Ultron
Avengers: Age of Ultron,102.28,0.7254,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,103.22,0.7321,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,103.3,0.7326,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,104.28,0.7396,Quicksilver,Ultron's Mooks,Quicksilver
Avengers: Age of Ultron,104.93,0.7442,Captain America,Ultron's Mooks,Ultron's Mooks
Avengers: Age of Ultron,105.43,0.7477,Ultron's Mooks,Random Mooks,Ultron's Mooks
Avengers: Age of Ultron,105.5,0.7482,Hulk,Ultron's Mooks,Hulk
Avengers: Age of Ultron,105.65,0.7493,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,105.73,0.7499,Scarlet Witch,Ultron's Mooks,Scarlet Witch
Avengers: Age of Ultron,105.75,0.75,Hawkeye,Ultron's Mooks,Hawkeye
Avengers: Age of Ultron,105.88,0.7509,Ultron's Mooks,Hawkeye,Ultron's Mooks
Avengers: Age of Ultron,105.88,0.7509,Ultron's Mooks,Scarlet Witch,Ultron's Mooks
Avengers: Age of Ultron,106.37,0.7544,Ultron's Mooks,Hawkeye,inconclusive
Avengers: Age of Ultron,107.33,0.7612,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,107.63,0.7633,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,107.87,0.765,Black Widow,Ultron's Mooks,Black Widow
Avengers: Age of Ultron,108.02,0.7661,Captain America,Ultron's Mooks,Captain America
Avengers: Age of Ultron,108.02,0.7661,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,108.07,0.7665,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,108.18,0.7672,Thor,Ultron's Mooks,Thor
Avengers: Age of Ultron,108.2,0.7674,Thor,Ultron,Ultron
